,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
73,"DHA Phase 8, DHA Defence",37500000.0,4.0,5.0,100,https://www.zameen.com/Homes/Karachi-2-3.html
74,"DHA Phase 6, DHA Defence",115000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-3.html
75,"Bahria Town - Precinct 35, Bahria Sports City",20000000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-4.html
76,"Bahria Town - Precinct 19, Bahria Town Karachi",9000000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-4.html
77,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",8500000.0,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-4.html
78,"Askari 5 - Sector J, Askari 5",71000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-4.html
79,"Askari 5 - Sector J, Askari 5",67500000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-4.html
80,"Askari 5 - Sector J, Askari 5",69500000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-4.html
81,"DHA Phase 6, DHA Defence",14000000.0,3.0,4.0,133,https://www.zameen.com/Homes/Karachi-2-4.html
82,"Bahria Town - Precinct 12, Bahria Town Karachi",16500000.0,3.0,,0,https://www.zameen.com/Homes/Karachi-2-4.html
83,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",25000000.0,3.0,3.0,240,https://www.zameen.com/Homes/Karachi-2-4.html
84,"KDA Employees Society - Sector 31-C2, KDA Employees Society - Korangi",4000000.0,2.0,2.0,89,https://www.zameen.com/Homes/Karachi-2-4.html
85,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-4.html
86,"Askari 5 - Sector J, Askari 5",64300000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-4.html
87,"North Karachi - Sector 9, North Karachi",16200000.000000002,2.0,2.0,120,https://www.zameen.com/Homes/Karachi-2-4.html
88,"Clifton - Block 7, Clifton",42500000.0,3.0,4.0,189,https://www.zameen.com/Homes/Karachi-2-4.html
89,"Clifton, Karachi",59000000.0,4.0,6.0,467,https://www.zameen.com/Homes/Karachi-2-4.html
90,"Civil Lines, Karachi",92800000.0,3.0,5.0,294,https://www.zameen.com/Homes/Karachi-2-4.html
91,"Clifton, Karachi",89300000.0,4.0,6.0,667,https://www.zameen.com/Homes/Karachi-2-4.html
92,"DHA Phase 7 Extension, DHA Defence",46000000.0,3.0,3.0,100,https://www.zameen.com/Homes/Karachi-2-4.html
93,"DHA Phase 7 Extension, DHA Defence",55000000.0,4.0,4.0,150,https://www.zameen.com/Homes/Karachi-2-4.html
94,"DHA Phase 7 Extension, DHA Defence",125000000.0,6.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-4.html
95,"Clifton - Block 5, Clifton",47500000.0,3.0,3.0,222,https://www.zameen.com/Homes/Karachi-2-4.html
96,"DHA Phase 7 Extension, DHA Defence",38500000.0,4.0,4.0,100,https://www.zameen.com/Homes/Karachi-2-4.html
97,"DHA Phase 8, DHA Defence",55000000.0,4.0,4.0,120,https://www.zameen.com/Homes/Karachi-2-4.html
98,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",17000000.0,3.0,3.0,152,https://www.zameen.com/Homes/Karachi-2-4.html
99,"Bahria Town - Precinct 10-A, Bahria Town Karachi",19500000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-4.html
100,"Askari 5 - Sector J, Askari 5",68500000.0,5.0,5.0,428,https://www.zameen.com/Homes/Karachi-2-5.html
101,"Askari 5 - Sector J, Askari 5",38500000.0,3.0,3.0,300,https://www.zameen.com/Homes/Karachi-2-5.html
102,"Askari 5 - Sector H, Askari 5",81000000.0,5.0,5.0,427,https://www.zameen.com/Homes/Karachi-2-5.html
103,"Askari 5 - Sector J, Askari 5",65000000.0,5.0,6.0,375,https://www.zameen.com/Homes/Karachi-2-5.html
104,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,4.0,289,https://www.zameen.com/Homes/Karachi-2-5.html
105,"Bahria Town Karachi, Karachi",13000000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-5.html
