,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
9204,"Bahria Town - Precinct 6, Bahria Town Karachi",35000000.0,4.0,4.0,272
9205,"Bahria Town - Precinct 4, Bahria Town Karachi",55000000.0,5.0,5.0,500
9206,"Bahria Town Karachi, Karachi",15600000.0,3.0,3.0,204
9207,"Bahria Town Karachi, Karachi",20000000.0,3.0,3.0,263
9208,"Bahria Town Karachi, Karachi",17900000.0,3.0,3.0,234
9209,"Bahria Town Karachi, Karachi",9900000.0,1.0,1.0,136
9210,"Bahria Town Karachi, Karachi",9900000.0,1.0,1.0,136
9211,"Bahria Town Karachi, Karachi",12000000.0,2.0,2.0,164
9212,"Bahria Town Karachi, Karachi",12000000.0,2.0,2.0,164
9213,"Bahria Central Park Apartments, Bahria Town Karachi",20000000.0,4.0,4.0,244
9214,"Bahria Central Park Apartments, Bahria Town Karachi",8000000.0,2.0,2.0,122
9215,"Bahria Central Park Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,122
9216,"Bahria Apartments, Bahria Town Karachi",26000000.0,4.0,4.0,328
9217,"Bahria Heights, Bahria Town Karachi",12500000.0,2.0,2.0,122
9218,"Bahria Heights, Bahria Town Karachi",9800000.0,2.0,2.0,122
9219,"Bahria Hills, Bahria Town Karachi",80000000.0,5.0,5.0,500
9220,"Bahria Town - Precinct 1, Bahria Town Karachi",35000000.0,4.0,4.0,272
9221,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",14000000.0,3.0,3.0,125
9222,"Bahria Town - Precinct 10-B, Bahria Town Karachi",14000000.0,3.0,3.0,125
9223,"Bahria Apartments, Bahria Town Karachi",28000000.0,4.0,4.0,328
9224,"Bahria Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,106
9225,"Falaknaz Presidency, Malir",9500000.0,2.0,2.0,122
9226,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,106
9227,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,106
9228,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,106
9229,"DHA Phase 8, DHA Defence",45000000.0,4.0,5.0,120
9230,"DHA Phase 8, DHA Defence",162500000.0,5.0,6.0,500
9231,"Emaar Coral Towers, Emaar Crescent Bay",62500000.0,4.0,5.0,356
9232,"Emaar Crescent Bay, DHA Phase 8",90000000.0,2.0,3.0,233
9233,"DHA Phase 2 Extension, DHA Defence",25500000.0,3.0,3.0,200
9234,"DHA Phase 8, DHA Defence",45000000.0,4.0,5.0,100
9235,"Naya Nazimabad - Block C, Naya Nazimabad",23000000.0,3.0,3.0,120
9236,"Gohar Green City, Karachi",8500000.0,2.0,2.0,80
9237,"DHA Phase 8 - Zone B, DHA Phase 8",159000000.0,6.0,9.0,500
9238,"DHA Phase 5, DHA Defence",85000000.0,5.0,5.0,500
9239,"Sea View Apartments, Karachi",40000000.0,3.0,3.0,256
9240,"DHA Phase 6, DHA Defence",100000000.0,5.0,6.0,500
9241,"DHA Phase 6, DHA Defence",77500000.0,4.0,5.0,500
9242,"Diamond City, Gulshan-e-Maymar",6500000.0,4.0,3.0,156
9243,"Diamond City, Gulshan-e-Maymar",5500000.0,3.0,2.0,133
9244,"Bahria Heights, Bahria Town Karachi",6500000.0,2.0,2.0,122
9245,"Bahria Central Park Apartments, Bahria Town Karachi",8000000.0,2.0,2.0,122
9246,"Bahria Town - Precinct 6, Bahria Town Karachi",8600000.0,2.0,2.0,116
9247,"Bahria Town - Precinct 6, Bahria Town Karachi",8200000.0,2.0,2.0,111
9248,"Bahria Town Karachi, Karachi",8000000.0,2.0,2.0,111
9249,"Bahria Town Karachi, Karachi",5200000.0,1.0,1.0,72
9250,"Bahria Central Park Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,122
9251,"Bahria Town Karachi, Karachi",5000000.0,1.0,1.0,56
9252,"Bahria Town Karachi, Karachi",9000000.0,2.0,2.0,111
9253,"Bahria Town Karachi, Karachi",4900000.0,1.0,1.0,63
9254,"Bahria Heights, Bahria Town Karachi",6500000.0,2.0,2.0,122
9255,"Bahria Heights, Bahria Town Karachi",7000000.0,2.0,2.0,122
9256,"Bahria Town Karachi, Karachi",9000000.0,2.0,2.0,109
9257,"Bahria Town Karachi, Karachi",8500000.0,2.0,2.0,113
9258,"Bahria Paradise, Bahria Town Karachi",45000000.0,5.0,5.0,500
9259,"Bahria Paradise, Bahria Town Karachi",42500000.0,5.0,5.0,500
9260,"Bahria Town Karachi, Karachi",14000000.0,3.0,3.0,167
9261,"Bahria Town Karachi, Karachi",10000000.0,2.0,2.0,133
9262,"Bahria Town - Precinct 27, Bahria Town Karachi",16200000.000000002,3.0,3.0,235
9263,"Bahria Sports City, Bahria Town Karachi",23000000.0,4.0,4.0,350
9264,"Bahria Town Karachi, Karachi",9500000.0,2.0,2.0,156
9265,"Bahria Town Karachi, Karachi",8800000.0,2.0,2.0,156
9266,"Bahria Town Karachi, Karachi",4800000.0,1.0,1.0,67
9267,"Bahria Town Karachi, Karachi",8500000.0,2.0,2.0,156
9268,"Bahria Town - Precinct 27, Bahria Town Karachi",17500000.0,3.0,3.0,235
9269,"Bahria Town Karachi, Karachi",10000000.0,2.0,2.0,131
9270,"Bahria Apartments, Bahria Town Karachi",8800000.0,2.0,2.0,106
9271,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,106
9272,"Bahria Apartments, Bahria Town Karachi",17500000.0,3.0,3.0,250
9273,"Bahria Town Karachi, Karachi",9900000.0,2.0,2.0,130
9274,"Bahria Town Karachi, Karachi",9800000.0,2.0,2.0,129
9275,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18800000.0,3.0,3.0,200
9276,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",18500000.0,3.0,3.0,200
9277,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",16500000.0,3.0,3.0,152
9278,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",14500000.0,3.0,3.0,152
9279,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14500000.0,3.0,3.0,125
9280,"Bahria Town - Precinct 6, Bahria Town Karachi",32500000.0,4.0,4.0,272
9281,"Bahria Town - Precinct 8, Bahria Town Karachi",32500000.0,4.0,4.0,272
9282,"Bahria Town - Precinct 6, Bahria Town Karachi",35000000.0,4.0,4.0,272
9283,"Bahria Town - Precinct 4, Bahria Town Karachi",55000000.0,5.0,5.0,500
9284,"Bahria Town Karachi, Karachi",15600000.0,3.0,3.0,204
9285,"Bahria Town Karachi, Karachi",20000000.0,3.0,3.0,263
9286,"Bahria Town Karachi, Karachi",17900000.0,3.0,3.0,234
9287,"Bahria Town Karachi, Karachi",9900000.0,1.0,1.0,136
9288,"Bahria Town Karachi, Karachi",9900000.0,1.0,1.0,136
9289,"Bahria Town Karachi, Karachi",12000000.0,2.0,2.0,164
9290,"Bahria Town Karachi, Karachi",12000000.0,2.0,2.0,164
9291,"Bahria Central Park Apartments, Bahria Town Karachi",20000000.0,4.0,4.0,244
9292,"Bahria Central Park Apartments, Bahria Town Karachi",8000000.0,2.0,2.0,122
9293,"Bahria Central Park Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,122
9294,"Bahria Apartments, Bahria Town Karachi",26000000.0,4.0,4.0,328
9295,"Bahria Heights, Bahria Town Karachi",12500000.0,2.0,2.0,122
9296,"Bahria Heights, Bahria Town Karachi",9800000.0,2.0,2.0,122
9297,"Bahria Hills, Bahria Town Karachi",80000000.0,5.0,5.0,500
9298,"Bahria Town - Precinct 1, Bahria Town Karachi",35000000.0,4.0,4.0,272
9299,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",14000000.0,3.0,3.0,125
9325,"Bahria Paradise, Bahria Town Karachi",45000000.0,5.0,5.0,500
9326,"Bahria Heights, Bahria Town Karachi",11000000.0,2.0,2.0,122
9327,"Bahria Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,106
9328,"Bahria Apartments, Bahria Town Karachi",21000000.0,3.0,3.0,250
9329,"Bahria Apartments, Bahria Town Karachi",28000000.0,4.0,4.0,328
9330,"Bahria Heights, Bahria Town Karachi",11000000.0,2.0,2.0,122
9331,"Saadi Town, Scheme 33",34500000.0,5.0,5.0,240
9332,"Dhoraji Colony, Gulshan-e-Iqbal Town",36000000.0,4.0,5.0,244
9333,"Amir Khusro, Karachi",37500000.0,3.0,3.0,300
9334,other,170000000.0,6.0,6.0,425
9335,other,190000000.0,4.0,5.0,600
9336,"Amir Khusro, Karachi",87500000.0,6.0,6.0,250
9337,"Dhoraji Colony, Gulshan-e-Iqbal Town",20000000.0,3.0,3.0,167
9338,"Saadi Town, Scheme 33",32500000.0,9.0,6.0,240
9339,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",65000000.0,6.0,6.0,300
9340,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",16500000.0,4.0,4.0,100
9341,other,39800000.0,6.0,8.0,240
9342,"Scheme 33, Karachi",11000000.0,3.0,3.0,165
9347,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",55000000.0,6.0,7.0,400
9349,"DHA Phase 6, DHA Defence",122500000.0,5.0,5.0,500
9350,"Askari 5 - Sector J, Askari 5",36000000.0,3.0,4.0,304
9351,"Askari 5 - Sector J, Askari 5",36500000.0,3.0,4.0,304
9352,"DHA Phase 6, DHA Defence",110000000.0,5.0,5.0,500
9353,"North Nazimabad, Karachi",8500000.0,2.0,2.0,111
9354,other,24500000.0,3.0,3.0,217
9355,other,3800000.0,2.0,2.0,83
9356,other,3800000.0,2.0,2.0,83
9357,"Gulistan-e-Jauhar, Karachi",8200000.0,2.0,2.0,111
9358,"Gulistan-e-Jauhar, Karachi",2200000.0,1.0,1.0,50
9359,"DHA Phase 5, DHA Defence",95000000.0,8.0,6.0,500
9360,"DHA Phase 5, DHA Defence",90000000.0,5.0,5.0,500
9361,"DHA Phase 8, DHA Defence",32500000.0,3.0,3.0,200
9362,"North Nazimabad - Block A, North Nazimabad",7500000.0,3.0,2.0,110
9363,"North Nazimabad, Karachi",7500000.0,3.0,2.0,110
9364,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",6000000.0,2.0,2.0,83
9365,"Karachi Administration Employees Society, Jamshed Town",14000000.0,4.0,3.0,200
9366,"Mehmoodabad, Karachi",3600000.0,2.0,2.0,65
9367,"Model Colony - Malir, Malir",29000000.0,4.0,5.0,150
9368,"Model Colony - Malir, Malir",29000000.0,4.0,5.0,150
9369,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",67500000.0,3.0,3.0,400
9370,"DHA Phase 2 Extension, DHA Defence",16000000.0,3.0,3.0,122
9371,"DHA Phase 2 Extension, DHA Defence",16000000.0,3.0,3.0,200
9373,"Askari 5 - Sector J, Askari 5",39000000.0,3.0,3.0,300
9374,"Naya Nazimabad, Karachi",36500000.0,4.0,5.0,160
9421,"North Nazimabad - Block A, North Nazimabad",11000000.0,3.0,2.0,139
9422,"North Nazimabad - Block A, North Nazimabad",13000000.0,3.0,3.0,178
9424,"Nishat Commercial Area, DHA Phase 6",38000000.0,4.0,5.0,250
9425,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9426,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9427,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9428,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9429,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9430,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9431,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9432,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9433,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9434,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9435,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9436,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9437,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9438,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9439,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9440,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9441,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9442,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9443,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9444,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9445,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9446,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9447,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9448,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9449,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17900000.0,3.0,3.0,200
9450,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17900000.0,3.0,3.0,200
9451,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17900000.0,3.0,3.0,200
9452,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17900000.0,3.0,3.0,200
9453,"Bahria Town - Precinct 10-A, Bahria Town Karachi",17900000.0,3.0,3.0,200
9454,"Naya Nazimabad, Karachi",29000000.0,4.0,3.0,120
9455,"Askari 5 - Sector J, Askari 5",67500000.0,5.0,6.0,375
9456,"Scheme 33, Karachi",26500000.0,3.0,5.0,313
9457,"Naya Nazimabad - Block A, Naya Nazimabad",29500000.0,4.0,4.0,120
9458,other,13000000.0,3.0,3.0,128
9459,"Bath Island, Karachi",62500000.0,4.0,4.0,267
9467,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9468,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9469,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9470,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9471,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9472,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9473,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9474,"Bahria Town - Precinct 9, Bahria Town Karachi",50100000.0,5.0,5.0,500
9481,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",12500000.0,2.0,2.0,100
9488,"Bahria Apartments, Bahria Town Karachi",15700000.0,3.0,3.0,250
9489,"Bahria Apartments, Bahria Town Karachi",15700000.0,3.0,3.0,250
9490,"Bahria Apartments, Bahria Town Karachi",15700000.0,3.0,3.0,250
9491,"Bahria Apartments, Bahria Town Karachi",15700000.0,3.0,3.0,250
9492,"Bahria Apartments, Bahria Town Karachi",15700000.0,3.0,3.0,250
9493,"Bahria Apartments, Bahria Town Karachi",15800000.0,3.0,3.0,250
9494,"Bahria Apartments, Bahria Town Karachi",15800000.0,3.0,3.0,250
9495,"Bahria Apartments, Bahria Town Karachi",15800000.0,3.0,3.0,250
9496,"Bahria Apartments, Bahria Town Karachi",15800000.0,3.0,3.0,250
9497,"Bahria Apartments, Bahria Town Karachi",15800000.0,3.0,3.0,250
9498,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9499,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9500,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9501,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9502,"Bahria Paradise, Bahria Town Karachi",45100000.0,5.0,5.0,500
9503,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9504,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9505,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9506,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9507,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9508,"Bahria Paradise, Bahria Town Karachi",25000000.0,5.0,5.0,500
9509,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9510,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9511,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9512,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9513,"Bahria Town - Precinct 12, Bahria Town Karachi",14000000.0,3.0,3.0,125
9514,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9515,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9516,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9517,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9518,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9519,"Bahria Town - Precinct 12, Bahria Town Karachi",14100000.0,3.0,3.0,125
9520,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9521,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9522,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9523,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9524,"Bahria Town - Precinct 10-A, Bahria Town Karachi",18000000.0,3.0,3.0,200
9525,"Bahria Sports City, Bahria Town Karachi",21000000.0,3.0,3.0,350
9526,"Clifton - Block 8, Clifton",160000000.0,6.0,6.0,500
9527,"Khalid Bin Walid Road, Karachi",20000000.0,3.0,4.0,144
9528,"Sharfabad, Gulshan-e-Iqbal Town",35500000.0,3.0,3.0,189
9529,"Civil Lines, Karachi",90000000.0,4.0,4.0,267
9530,"Civil Lines, Karachi",80000000.0,4.0,4.0,311
9531,"Khalid Bin Walid Road, Karachi",24500000.0,3.0,3.0,189
9532,"Bath Island, Karachi",51000000.0,3.0,4.0,200
9533,"PECHS Block 2, PECHS",35000000.0,3.0,4.0,167
9534,"PECHS Block 2, PECHS",85000000.0,4.0,4.0,250
9535,"PECHS Block 3, PECHS",71000000.0,4.0,5.0,356
9536,"Gulshan-e-Iqbal Town, Karachi",50000000.0,6.0,6.0,265
9537,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9538,other,45000000.0,9.0,6.0,200
9539,"Bahadurabad, Gulshan-e-Iqbal Town",150000000.0,6.0,6.0,400
9540,"Amir Khusro, Karachi",150000000.0,8.0,8.0,500
9541,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9542,"Mohammad Ali Society, Gulshan-e-Iqbal Town",85000000.0,5.0,6.0,220
9544,"Amir Khusro, Karachi",200000000.0,5.0,6.0,600
9545,other,190000000.0,5.0,6.0,600
9546,"Khalid Bin Walid Road, Karachi",25000000.0,3.0,3.0,181
9547,"KDA Scheme 1, Karachi",35000000.0,3.0,3.0,224
9548,"Federal B Area - Block 15, Federal B Area",6500000.0,2.0,2.0,111
9549,other,2500000.0,2.0,2.0,72
9550,"Bahria Town - Precinct 1, Bahria Town Karachi",41100000.0,5.0,5.0,250
9551,"Bahria Town - Precinct 9, Bahria Town Karachi",50100000.0,5.0,5.0,500
9552,"Bahria Town - Precinct 9, Bahria Town Karachi",50100000.0,5.0,5.0,500
9553,"Bahria Town - Precinct 9, Bahria Town Karachi",50100000.0,5.0,5.0,500
9554,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9555,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9556,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9557,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9558,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9559,"Bahria Town - Precinct 9, Bahria Town Karachi",50000000.0,5.0,5.0,500
9560,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",23000000.0,3.0,3.0,144
9561,other,110000000.0,7.0,6.0,800
9562,"Bahria Town - Precinct 14, Bahria Town Karachi",11000000.0,3.0,3.0,125
9563,"Bahria Town - Precinct 14, Bahria Town Karachi",11000000.0,3.0,3.0,125
9564,"Bahria Town - Precinct 14, Bahria Town Karachi",11000000.0,3.0,3.0,125
9565,"Bahria Town - Precinct 14, Bahria Town Karachi",11000000.0,3.0,3.0,125
9566,"Bahria Town - Precinct 14, Bahria Town Karachi",11000000.0,3.0,3.0,125
9567,"Bahria Town - Precinct 14, Bahria Town Karachi",11100000.000000002,3.0,3.0,125
9568,"Bahria Town - Precinct 14, Bahria Town Karachi",11100000.000000002,3.0,3.0,125
9569,"Bahria Town - Precinct 14, Bahria Town Karachi",11100000.000000002,3.0,3.0,125
9570,"Bahria Town - Precinct 14, Bahria Town Karachi",11100000.000000002,3.0,3.0,125
9571,"Bahria Town - Precinct 14, Bahria Town Karachi",11100000.000000002,3.0,3.0,125
9572,"Shaheed Millat Road, Karachi",50000000.0,3.0,3.0,222
9573,"Scheme 33, Karachi",6000000.0,2.0,2.0,117
9574,"Gwalior Cooperative Housing Society, Scheme 33",47000000.0,6.0,6.0,240
9575,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9576,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9577,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9578,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9579,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9580,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9581,"Gulistan-e-Jauhar, Karachi",23500000.0,3.0,3.0,300
9582,"Askari 5, Malir Cantonment",46500000.0,4.0,4.0,330
9583,"Askari 5, Malir Cantonment",46500000.0,4.0,4.0,330
9584,"Askari 5, Malir Cantonment",46500000.0,4.0,4.0,330
9585,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9586,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9587,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9588,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9589,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9590,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9591,"Askari 5 - Sector B, Askari 5",80000000.0,5.0,5.0,500
9592,"Askari 5 - Sector H, Askari 5",80000000.0,5.0,5.0,375
9593,"Askari 5 - Sector H, Askari 5",90000000.0,5.0,5.0,427
9594,"Askari 5 - Sector H, Askari 5",90000000.0,5.0,5.0,427
9595,"Askari 4, Gulistan-e-Jauhar",55000000.0,3.0,3.0,256
9596,"Bahria Town - Precinct 31, Bahria Town Karachi",15500000.0,3.0,3.0,235
9597,"Askari 5 - Sector H, Askari 5",80000000.0,5.0,5.0,375
9598,"Askari 5 - Sector H, Askari 5",80000000.0,5.0,5.0,375
9599,"Askari 5 - Sector H, Askari 5",80000000.0,5.0,5.0,375
9600,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9601,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9602,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9603,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9604,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9605,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9606,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9607,"Bahria Sports City, Bahria Town Karachi",21000000.0,3.0,3.0,350
9608,"Clifton - Block 8, Clifton",160000000.0,6.0,6.0,500
9609,"Khalid Bin Walid Road, Karachi",20000000.0,3.0,4.0,144
9610,"Sharfabad, Gulshan-e-Iqbal Town",35500000.0,3.0,3.0,189
9611,"Civil Lines, Karachi",90000000.0,4.0,4.0,267
9612,"Civil Lines, Karachi",80000000.0,4.0,4.0,311
9613,"Khalid Bin Walid Road, Karachi",24500000.0,3.0,3.0,189
9614,"Bath Island, Karachi",51000000.0,3.0,4.0,200
9615,"PECHS Block 2, PECHS",35000000.0,3.0,4.0,167
9616,"PECHS Block 2, PECHS",85000000.0,4.0,4.0,250
9617,"PECHS Block 3, PECHS",71000000.0,4.0,5.0,356
9618,"Gulshan-e-Iqbal Town, Karachi",50000000.0,6.0,6.0,265
9619,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9620,other,45000000.0,9.0,6.0,200
9621,"Bahadurabad, Gulshan-e-Iqbal Town",150000000.0,6.0,6.0,400
9622,"Amir Khusro, Karachi",150000000.0,8.0,8.0,500
9623,"Bahria Town Karachi, Karachi",29000000.0,4.0,4.0,250
9624,"Mohammad Ali Society, Gulshan-e-Iqbal Town",85000000.0,5.0,6.0,220
9625,"Federal B Area - Block 15, Federal B Area",6500000.0,2.0,2.0,111
9626,other,2500000.0,2.0,2.0,72
9627,"Dhoraji Colony, Gulshan-e-Iqbal Town",18000000.0,3.0,3.0,156
9628,"PECHS Block 6, PECHS",90000000.0,5.0,5.0,750
9629,"Bahadurabad, Gulshan-e-Iqbal Town",41500000.0,4.0,4.0,277
9631,"PECHS Block 2, PECHS",47500000.0,4.0,4.0,300
9632,other,109000000.0,6.0,6.0,375
9633,"DHA Phase 7 Extension, DHA Defence",29000000.0,4.0,4.0,250
9634,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9635,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9636,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9637,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9638,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9639,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9640,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9641,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9642,"Askari 5, Malir Cantonment",32500000.0,3.0,3.0,286
9643,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9644,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9645,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9646,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9647,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9648,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9649,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9650,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9651,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9652,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9653,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9654,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9655,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9656,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
9657,"Askari 5, Malir Cantonment",36000000.0,3.0,3.0,286
