,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16425,"Bahria Town - Precinct 10-A, Bahria Town Karachi",22500000.0,3.0,3.0,200
16426,"Falcon Complex New Malir, Malir",91500000.0,5.0,5.0,500
16427,"Falcon Complex New Malir, Malir",78000000.0,5.0,5.0,500
16428,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16429,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16430,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16431,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16432,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16433,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16434,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16435,"Khalid Bin Walid Road, Karachi",29500000.0,3.0,3.0,194
16436,"Frere Town, Karachi",34000000.0,3.0,3.0,194
16437,"North Nazimabad - Block F, North Nazimabad",115000000.0,6.0,6.0,600
16438,"North Nazimabad - Block N, North Nazimabad",60000000.0,3.0,4.0,550
16439,"North Nazimabad - Block I, North Nazimabad",65000000.0,7.0,7.0,450
16440,"University Road, Karachi",33000000.0,4.0,4.0,300
16441,other,33000000.0,4.0,4.0,300
16442,other,33000000.0,4.0,4.0,300
16443,other,33000000.0,4.0,4.0,300
16444,other,33000000.0,4.0,4.0,300
16445,other,33000000.0,4.0,4.0,300
16446,other,33000000.0,4.0,4.0,300
16447,other,33000000.0,4.0,4.0,300
16448,other,33000000.0,4.0,4.0,300
16449,"Clifton - Block 9, Clifton",40000000.0,3.0,3.0,200
16450,"Frere Town, Karachi",29000000.0,3.0,3.0,189
16451,"Clifton - Block 8, Clifton",53500000.0,3.0,3.0,222
16452,"Frere Town, Karachi",34000000.0,3.0,3.0,194
16453,"Shamsi Society, Shah Faisal Town",8500000.0,2.0,2.0,120
16454,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",12000000.0,2.0,2.0,150
16455,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",12000000.0,2.0,2.0,150
16456,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",21500000.0,3.0,3.0,167
16457,"Diamond City, Gulshan-e-Maymar",4700000.0,2.0,2.0,100
16458,"Falcon Complex New Malir, Malir",85000000.0,5.0,5.0,500
16460,"Askari 5 - Sector J, Askari 5",37500000.0,3.0,3.0,289
16461,"Navy Housing Scheme Karsaz, Karachi",77000000.0,5.0,7.0,400
16462,"Bath Island, Karachi",67500000.0,3.0,3.0,186
16463,"Shaheed Millat Road, Karachi",27500000.0,3.0,3.0,200
16465,"Clifton - Block 9, Clifton",35000000.0,4.0,4.0,356
16466,"Clifton - Block 2, Clifton",35000000.0,3.0,3.0,244
16467,"Clifton - Block 4, Clifton",17500000.0,2.0,2.0,122
16468,"Clifton - Block 9, Clifton",27500000.0,3.0,3.0,217
16469,"Bahria Heights, Bahria Town Karachi",14000000.0,2.0,2.0,122
16470,"HMR Waterfront, DHA Phase 8",84500000.0,3.0,4.0,264
16471,"DHA Phase 6, DHA Defence",165000000.0,6.0,7.0,500
16472,"Emaar Coral Towers, Emaar Crescent Bay",70000000.0,4.0,5.0,297
16473,"Emaar Coral Towers, Emaar Crescent Bay",47000000.0,2.0,3.0,186
16474,"Emaar Panorama, DHA Phase 8",130000000.0,4.0,5.0,400
16478,"Mehmoodabad Number 1, Mehmoodabad",4700000.0,3.0,3.0,100
16479,other,34500000.0,6.0,6.0,240
16481,"North Nazimabad - Block F, North Nazimabad",28700000.0,4.0,4.0,389
16482,"Shadman Town - Sector-14/B, Shadman",36500000.0,3.0,3.0,240
16483,"Askari 5 - Sector J, Askari 5",38500000.0,3.0,3.0,280
16485,"Korangi - Sector 31-G, Korangi",5000000.0,3.0,2.0,90
16486,"Korangi - Sector 31-G, Korangi",3200000.0,2.0,2.0,60
16487,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",18500000.0,3.0,3.0,156
16488,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",15000000.0,3.0,3.0,156
16489,"Askari 5 - Sector J, Askari 5",36000000.0,3.0,3.0,300
16490,"Falcon Complex New Malir, Malir",80000000.0,5.0,5.0,500
16491,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",16000000.0,3.0,3.0,167
16492,other,16500000.0,3.0,3.0,150
16493,other,12000000.0,2.0,2.0,100
16494,other,32500000.0,4.0,4.0,275
16495,"Federal B Area, Karachi",15500000.0,3.0,4.0,183
16496,other,22200000.000000004,4.0,4.0,120
16497,other,100000000.0,6.0,8.0,600
16498,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",18000000.0,3.0,3.0,200
16499,"DHA Phase 8 - Zone A, DHA Phase 8",125000000.0,6.0,6.0,500
16500,"DHA Phase 4, DHA Defence",62500000.0,5.0,5.0,300
16501,"Scheme 33, Karachi",12000000.0,3.0,3.0,144
16502,"Sehar Commercial Area, DHA Phase 7",5500000.0,2.0,2.0,56
16503,"Emaar Panorama, DHA Phase 8",99000000.0,3.0,4.0,281
16504,"Emaar Panorama, DHA Phase 8",60000000.0,2.0,3.0,206
16505,"Emaar Panorama, DHA Phase 8",41900000.00000001,1.0,2.0,161
16507,"DHA Phase 6, DHA Defence",120000000.0,5.0,5.0,600
16508,"DHA Phase 6, DHA Defence",9200000.0,2.0,3.0,117
16510,"DHA Phase 8, DHA Defence",25000000.0,3.0,3.0,128
16511,"North Nazimabad - Block A, North Nazimabad",42500000.0,2.0,2.0,200
16512,"KDA Officers Society, Gulshan-e-Iqbal Town",200000000.0,6.0,6.0,450
16513,"Bahria Town - Precinct 35, Bahria Sports City",24000000.0,4.0,4.0,350
16514,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15000000.0,4.0,4.0,125
16515,other,15000000.0,3.0,3.0,125
16516,"Bahria Town - Precinct 27, Bahria Town Karachi",16000000.0,3.0,3.0,125
16517,"Bahria Apartments, Bahria Town Karachi",8800000.0,2.0,2.0,106
16518,"Bahria Apartments, Bahria Town Karachi",9000000.0,2.0,2.0,106
16519,"Bahria Heights, Bahria Town Karachi",10200000.0,2.0,2.0,122
16520,"Bahria Apartments, Bahria Town Karachi",9500000.0,2.0,2.0,106
16521,"Bahria Town Karachi, Karachi",28000000.0,4.0,4.0,250
16522,"DHA Phase 5, DHA Defence",20000000.0,3.0,3.0,194
16523,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",23800000.0,3.0,3.0,200
16524,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",51500000.0,6.0,6.0,425
16525,"Askari 5 - Sector J, Askari 5",65500000.0,5.0,5.0,375
16526,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,5.0,375
16527,"DHA Phase 4, DHA Defence",11000000.0,2.0,2.0,100
16528,"DHA Phase 6, DHA Defence",105000000.0,5.0,5.0,500
16529,"DHA Phase 8, DHA Defence",36500000.0,2.0,2.0,100
16530,"Falcon Complex New Malir, Malir",83500000.0,5.0,5.0,500
16531,"Falcon Complex New Malir, Malir",90000000.0,5.0,5.0,500
16532,"Emaar Coral Towers, Emaar Crescent Bay",59500000.0,3.0,4.0,333
16533,"Ittehad Commercial Area, DHA Phase 6",25000000.0,3.0,3.0,156
16534,"Bahria Town - Ali Block, Bahria Town - Precinct 12",14500000.0,3.0,3.0,125
16535,"Bahria Town - Precinct 6, Bahria Town Karachi",29000000.0,5.0,5.0,250
16536,"Bahria Town - Precinct 25, Bahria Town Karachi",12000000.0,3.0,3.0,125
16537,"Bahria Town - Precinct 27, Bahria Town Karachi",13500000.0,3.0,3.0,125
16538,"Bahria Town - Precinct 31, Bahria Town Karachi",13500000.0,3.0,3.0,125
16539,"Bahria Town - Precinct 8, Bahria Town Karachi",30000000.0,5.0,5.0,250
16540,"Bahria Town - Precinct 30, Bahria Town Karachi",25000000.0,5.0,5.0,250
16541,"Bahria Town - Precinct 16, Bahria Town Karachi",26500000.0,5.0,5.0,250
16542,"Saima Royal Residency, Rashid Minhas Road",25000000.0,3.0,3.0,189
16544,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,7.0,375
16545,"Askari 5 - Sector J, Askari 5",64500000.0,5.0,7.0,375
16546,"DHA Phase 8, DHA Defence",165000000.0,5.0,5.0,500
16547,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",23500000.0,3.0,3.0,167
16548,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",7500000.0,2.0,2.0,111
16549,"Gulistan-e-Jauhar, Karachi",63000000.0,6.0,6.0,240
16550,other,14500000.0,2.0,2.0,135
16551,other,17400000.0,3.0,4.0,161
16552,other,23500000.0,4.0,4.0,120
16553,"Askari 4, Gulistan-e-Jauhar",61500000.0,3.0,3.0,305
16554,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",23000000.0,3.0,3.0,233
16555,"DHA Phase 6, DHA Defence",102000000.0,6.0,6.0,500
16556,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",35000000.0,3.0,3.0,189
16557,"Delhi Colony, Karachi",7000000.0,3.0,2.0,200
16558,"Delhi Colony, Karachi",7000000.0,2.0,2.0,111
16559,"Clifton - Block 8, Clifton",3700000.0,2.0,1.0,67
16560,other,5500000.0,3.0,2.0,106
